Table Name,Row Count,Table Name,Row Count,
ohlc_230510,92029,ohlc_230510,92029,0
ohlc_230511,72813,ohlc_230511,72813,0
ohlc_230512,88813,ohlc_230512,88813,0
ohlc_230515,83058,ohlc_230515,83058,0
ohlc_230516,72365,ohlc_230516,72365,0
ohlc_230517,91301,ohlc_230517,91301,0
ohlc_230518,88803,ohlc_230518,88803,0
ohlc_230519,91441,ohlc_230519,91441,0
ohlc_230522,77701,ohlc_230522,77701,0
ohlc_230523,85713,ohlc_230523,85713,0
ohlc_230524,95642,ohlc_230524,95642,0
ohlc_230525,74826,ohlc_230525,74826,0
ohlc_230526,91285,ohlc_230526,91285,0
ohlc_230530,85437,ohlc_230530,85437,0
ohlc_230531,81527,ohlc_230531,81527,0
ohlc_230601,88474,ohlc_230601,88474,0
ohlc_230602,103222,ohlc_230602,103222,0
ohlc_230605,84651,ohlc_230605,84651,0
ohlc_230606,71245,ohlc_230606,71245,0
ohlc_230607,75444,ohlc_230607,75444,0
ohlc_230608,69109,ohlc_230608,69109,0
ohlc_230609,81341,ohlc_230609,81341,0
ohlc_230612,84502,ohlc_230612,84502,0
ohlc_230613,90631,ohlc_230613,90631,0
ohlc_230614,89835,ohlc_230614,89835,0
ohlc_230615,97887,ohlc_230615,97887,0
ohlc_230616,86539,ohlc_230616,86539,0
ohlc_230620,82161,ohlc_230620,82161,0
ohlc_230621,78785,ohlc_230621,78785,0
ohlc_230622,67357,ohlc_230622,67357,0
ohlc_230623,75957,ohlc_230623,75957,0
ohlc_230626,76895,ohlc_230626,76895,0
ohlc_230627,80894,ohlc_230627,80894,0
ohlc_230628,71650,ohlc_230628,71650,0
ohlc_230629,68451,ohlc_230629,68451,0
ohlc_230630,95706,ohlc_230630,95706,0
ohlc_230703,37524,ohlc_230703,37524,0
ohlc_230705,62402,ohlc_230705,62402,0
ohlc_230706,81427,ohlc_230706,81427,0
ohlc_230707,78401,ohlc_230707,78401,0
ohlc_230710,66893,ohlc_230710,66893,0
ohlc_230711,64389,ohlc_230711,64389,0
ohlc_230712,83778,ohlc_230712,83778,0
ohlc_230713,77334,ohlc_230713,77334,0
ohlc_230714,75396,ohlc_230714,75396,0
ohlc_230717,69390,ohlc_230717,69390,0
ohlc_230718,78607,ohlc_230718,78607,0
ohlc_230719,76195,ohlc_230719,76195,0
ohlc_230720,69925,ohlc_230720,69925,0
ohlc_230721,68393,ohlc_230721,68393,0
ohlc_230724,64268,ohlc_230724,64268,0
ohlc_230725,63851,ohlc_230725,63851,0
ohlc_230726,70060,ohlc_230726,70060,0
ohlc_230727,90563,ohlc_230727,90563,0
ohlc_230728,78360,ohlc_230728,78360,0
ohlc_230731,66476,ohlc_230731,66476,0
ohlc_230801,60857,ohlc_230801,60857,0
ohlc_230802,90927,ohlc_230802,90927,0
ohlc_230803,75950,ohlc_230803,75950,0
ohlc_230804,89213,ohlc_230804,89213,0
ohlc_230807,75041,ohlc_230807,75041,0
ohlc_230808,77054,ohlc_230808,77054,0
ohlc_230809,78781,ohlc_230809,78781,0
ohlc_230810,88747,ohlc_230810,88747,0
ohlc_230811,78078,ohlc_230811,78078,0
ohlc_230814,74881,ohlc_230814,74881,0
ohlc_230815,78295,ohlc_230815,78295,0
ohlc_230816,85003,ohlc_230816,85003,0
ohlc_230817,87964,ohlc_230817,87964,0
ohlc_230818,91817,ohlc_230818,91817,0
ohlc_230821,83464,ohlc_230821,83464,0
ohlc_230822,69607,ohlc_230822,69607,0
ohlc_230823,79629,ohlc_230823,79629,0
ohlc_230824,82612,ohlc_230824,82612,0
ohlc_230825,90162,ohlc_230825,90162,0
ohlc_230828,77044,ohlc_230828,77044,0
ohlc_230829,96082,ohlc_230829,96082,0
ohlc_230830,80981,ohlc_230830,80981,0
ohlc_230831,69351,ohlc_230831,69351,0
ohlc_230901,71301,ohlc_230901,71301,0
ohlc_230905,67077,ohlc_230905,67077,0
ohlc_230906,85150,ohlc_230906,85150,0
ohlc_230907,65282,ohlc_230907,65282,0
ohlc_230908,68679,ohlc_230908,68679,0
ohlc_230911,66789,ohlc_230911,66789,0
ohlc_230912,64257,ohlc_230912,64257,0
ohlc_230913,66421,ohlc_230913,66421,0
ohlc_230914,71705,ohlc_230914,71705,0
ohlc_230915,85871,ohlc_230915,85871,0
ohlc_230918,65500,ohlc_230918,65500,0
ohlc_230919,73308,ohlc_230919,73308,0
ohlc_230920,75056,ohlc_230920,75056,0
ohlc_230921,96655,ohlc_230921,96655,0
ohlc_230922,89014,ohlc_230922,89014,0
ohlc_230925,82824,ohlc_230925,82824,0
ohlc_230926,94223,ohlc_230926,94223,0
ohlc_230927,97326,ohlc_230927,97326,0
ohlc_230928,81727,ohlc_230928,81727,0
ohlc_230929,92392,ohlc_230929,92392,0
ohlc_231002,86268,ohlc_231002,86268,0
ohlc_231003,96112,ohlc_231003,96112,0
ohlc_231004,84717,ohlc_231004,84717,0
ohlc_231005,73915,ohlc_231005,73915,0
ohlc_231006,105153,ohlc_231006,105153,0
ohlc_231009,87037,ohlc_231009,87037,0
ohlc_231010,95485,ohlc_231010,95485,0
ohlc_231011,78084,ohlc_231011,78084,0
ohlc_231012,86779,ohlc_231012,86779,0
